id,image,mse,rmse,psnr,ssim,uqi,adapted_rand_error,brisque,pydom_sharpness
0,21_training.tif,1176.7250171737987,34.3034257352498,17.424053742153724,0.655206468192055,0.9139593886086298,0.8030982661311423,23.45834982589233,0.9975776186103391
1,22_training.tif,1062.2791904069181,32.592624785477426,17.868416869491746,0.6501078063903436,0.9110368381535342,0.8071593906127517,22.814265146955194,0.9776932006047236
2,23_training.tif,2905.6725502081067,53.90429064748098,13.498336902212742,0.6329314785024034,0.8623885536854071,0.8902304258462661,35.08330797623805,0.9413453687962602
3,24_training.tif,1760.3250707156424,41.956228032506,15.674874865866888,0.6960933929211962,0.9200433080297804,0.8309853036207704,27.2050103084799,0.9712479544415128
4,25_training.tif,382.5931163373338,19.559987636431007,22.30343208986369,0.6922166777303226,0.9361165909871864,0.8045539264474649,26.566857635104927,0.9822610924719952
5,26_training.tif,964.7616377742756,31.06061232130293,18.286603347639783,0.6407901848892202,0.8408731392160386,0.8028198052265249,30.239351146827715,0.982997277561926
6,27_training.tif,1161.4221511698388,34.07964423478976,17.480902560303534,0.7119457367517451,0.9437040619532544,0.8057519576136937,17.814840811715246,1.0049418224152544
7,28_training.tif,570.1664252232594,23.87815791101272,20.57078720973352,0.6361472717872108,0.9169855255378452,0.8117121923328866,16.855269307188312,1.00802705365208
8,29_training.tif,457.77103588313736,21.395584495010585,21.52432050367015,0.6772781847708079,0.9161181648015092,0.7970861645444424,28.16276691388836,0.9609504511680709
9,30_training.tif,959.9663444053824,30.983323650076386,18.308243535525552,0.6557187121422979,0.8291206683823423,0.7995494774573885,29.334717130723877,0.9599600854438506
10,31_training.tif,1251.053774194852,35.37023853743217,17.158043834413366,0.6509797244683284,0.92098769966278,0.8156544946093466,30.477765479503518,0.9488234845417188
11,32_training.tif,682.7901462803572,26.130253467587284,19.787931159222065,0.7315906436984587,0.9491917576726492,0.7965814175596878,25.30289822476843,0.9834667035951308
12,33_training.tif,1201.8813876429467,34.66816100751447,17.332187511329163,0.6427041618331032,0.9045063280751124,0.8103842549685689,20.08663191505886,1.0050248039913146
13,34_training.tif,1130.1510395199416,33.61771913024353,17.59943872033529,0.624095234769378,0.8645429672501633,0.791098479624286,25.959460025672318,0.9299810413467616
14,35_training.tif,818.1568068856832,28.603440472881637,19.00243812894943,0.6864518614167398,0.9369798086408392,0.7955382149012902,20.278240350318328,1.0103703665511652
15,36_training.tif,228.96974380733016,15.131746224653988,24.53302262657505,0.6747885914752745,0.9563393866726884,0.7960594054602709,21.584048755467702,0.9905164214007732
17,38_training.tif,650.769106356326,25.51017652538543,19.996534331633786,0.6531957033039975,0.9132583856181264,0.8033300120476625,22.500557909823755,0.9824332085094948
18,39_training.tif,664.5904170202449,25.779651219910733,19.90526286135921,0.6493471213516194,0.9106369012442926,0.802955292249508,28.228214094856163,0.9843138792543056
19,40_training.tif,600.1533488907746,24.498027448975854,20.348181270378703,0.6614532227602129,0.8829796798482753,0.7972610259555124,24.994000898689904,0.985734869571014
