id,image,mse,rmse,psnr,ssim,uqi,msssim,adapted_rand_error
0,21_training.tif,1176.7250171737987,34.3034257352498,17.424053742153724,"(0.655206468192055, 0.6740080810127406)",0.9139593886086298,(0.7018449003550742+0j),"(0.8030982661311423, 0.19286383534032436, 0.20111232715322838)"
1,22_training.tif,1062.279190406918,32.59262478547743,17.868416869491746,"(0.6501078063903436, 0.6652680587471161)",0.9110368381535342,(0.7253225811278972+0j),"(0.8071593906127517, 0.19070530060966778, 0.19502427732877992)"
2,23_training.tif,2905.6725502081063,53.904290647480984,13.49833690221274,"(0.6329314785024034, 0.6671300054780337)",0.8623885536854071,(0.6289874800420618+0j),"(0.8902304258462661, 0.1754649959176887, 0.07986682916678914)"
3,24_training.tif,1760.3250707156424,41.956228032506004,15.674874865866888,"(0.6960933929211962, 0.7201422628277122)",0.9200433080297804,(0.7329575822418705+0j),"(0.8309853036207704, 0.19875821446580455, 0.14701446197181559)"
4,25_training.tif,382.5931163373338,19.559987636431007,22.303432089863694,"(0.6922166777303226, 0.7037054711513765)",0.9361165909871865,(0.7596412539601146+0j),"(0.8045539264474649, 0.19991819591260052, 0.19116965398869223)"
5,26_training.tif,964.7616377742756,31.060612321302933,18.286603347639783,"(0.6407901848892202, 0.6846427493810446)",0.8408731392160386,(0.7059180984343262+0j),"(0.8028198052265249, 0.20914488564088504, 0.1865103716346668)"
6,27_training.tif,1161.4221511698388,34.07964423478976,17.480902560303534,"(0.7119457367517451, 0.7276618491878928)",0.9437040619532544,(0.7884512583061599+0j),"(0.8057519576136937, 0.19570161961425017, 0.19281589889981535)"
7,28_training.tif,570.1664252232594,23.87815791101272,20.570787209733517,"(0.6361472717872108, 0.6459395423774681)",0.9169855255378451,(0.7191450371235248+0j),"(0.8117121923328866, 0.1862926894043367, 0.1903261223416258)"
8,29_training.tif,457.77103588313736,21.395584495010585,21.52432050367015,"(0.6772781847708079, 0.6953545708913582)",0.9161181648015093,(0.7606998738599856+0j),"(0.7970861645444424, 0.20326101121492632, 0.20256784364669386)"
9,30_training.tif,959.9663444053824,30.983323650076382,18.30824353552555,"(0.6557187121422979, 0.7062409144780387)",0.8291206683823423,(0.7488097398175927+0j),"(0.7995494774573885, 0.21125900714570942, 0.19069418058763754)"
10,31_training.tif,1251.053774194852,35.37023853743217,17.158043834413366,"(0.6509797244683284, 0.6662114149914374)",0.9209876996627799,(0.6762597747371232+0j),"(0.8156544946093466, 0.18665017542841777, 0.1820970551758829)"
11,32_training.tif,682.7901462803572,26.130253467587284,19.787931159222065,"(0.7315906436984587, 0.7459256966884583)",0.9491917576726491,(0.821598720891789+0j),"(0.7965814175596878, 0.20162728072714883, 0.2052419981085642)"
12,33_training.tif,1201.8813876429467,34.66816100751447,17.332187511329163,"(0.6427041618331032, 0.6602565069623193)",0.9045063280751123,(0.6927322200615729+0j),"(0.8103842549685689, 0.1843854329755179, 0.1951514479024302)"
13,34_training.tif,1130.1510395199418,33.61771913024353,17.59943872033529,"(0.624095234769378, 0.6633646214115836)",0.8645429672501633,(0.6701378195320081+0j),"(0.791098479624286, 0.20392880611597355, 0.21412281096079644)"
14,35_training.tif,818.1568068856831,28.603440472881633,19.00243812894943,"(0.6864518614167398, 0.7014663508214344)",0.9369798086408393,(0.7365960993278572+0j),"(0.7955382149012902, 0.19710056513857355, 0.21239418400173277)"
15,36_training.tif,228.9697438073302,15.131746224653988,24.533022626575054,"(0.6747885914752745, 0.6798196557079023)",0.9563393866726884,(0.7663325465357537+0j),"(0.7960594054602709, 0.20222509660157337, 0.20568544701447997)"
16,37_training.tif,0.0,0.0,inf,"(1.0, 1.0)",1.0,(1+0j),"(0.0, 1.0, 1.0)"
17,38_training.tif,650.769106356326,25.510176525385432,19.996534331633786,"(0.6531957033039975, 0.6695547674155561)",0.9132583856181263,(0.7436524750595382+0j),"(0.8033300120476625, 0.19722373915777885, 0.19611933760935502)"
18,39_training.tif,664.5904170202449,25.779651219910733,19.905262861359212,"(0.6493471213516194, 0.6650025461742107)",0.9106369012442926,(0.687667643299777+0j),"(0.802955292249508, 0.19833339025752122, 0.19577266371015067)"
19,40_training.tif,600.1533488907746,24.498027448975858,20.348181270378703,"(0.6614532227602129, 0.6887615957273853)",0.8829796798482753,(0.7691985254257635+0j),"(0.7972610259555124, 0.21385929152662367, 0.19271796917515532)"
